Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2
9989970,106.634262085,114209970,457.2617492676,223919970,543.0034179688
10019970,91.1060409546,114239970,390.6520690918,223934970,214.3536376953
10049970,87.1744003296,114254970,64.1365585327,223949970,520.3605957031
10079970,112.9053878784,114269970,533.2492675781,223979970,553.2649536133
10109970,105.8996200562,114299970,400.2661743164,223994970,463.0496826172
10124970,98.8200454712,114314970,268.072052002,224009970,427.3617858887
10139970,124.2232284546,114329970,427.2717285156,224039970,659.9576416016
10169970,115.3826751709,114344970,734.8032836914,224054970,29.5321941376
10199970,98.91015625,114359970,447.4893493652,224069970,390.3326721191
10229970,115.6735839844,114389970,482.7464599609,224084970,135.5620727539
10259970,143.6110687256,114404970,126.3201217651,224099970,597.2091674805
10289970,106.8693695068,114419970,326.2957763672,224114970,389.6374511719
10319970,106.5019760132,114449970,176.8681182861,224129970,571.9976806641
10349970,100.0154037476,114479970,423.6368408203,224159970,532.5482177734
10379970,100.8659744263,114509970,366.1231689453,224174970,582.2900390625
10394970,48.6101760864,114539970,435.2186584473,224189970,716.0783081055
10409970,131.3488464355,114569970,494.7960205078,224204970,694.485168457
10439970,125.8006134033,114599970,638.6917724609,224219970,422.4323120117
10454970,144.3479766846,114629970,446.7976379395,224234970,782.9024658203
10469970,80.2391204834,114659970,435.6273498535,224249970,299.0012817383
10499970,117.2029724121,114689970,398.8068237305,224279970,561.5193481445
10529970,95.1758117676,114704970,168.7840270996,224309970,431.543548584
10559970,102.2851715088,114719970,339.3492431641,224324970,67.4032363892
10589970,119.8325881958,114749970,353.6339111328,224339970,558.3646240234
10619970,89.2639007568,114779970,461.9338684082,224354970,787.8549194336
10649970,106.3017501831,114809970,430.5670776367,224369970,638.3660888672
10664970,23.0665740967,114839970,353.5406799316,224399970,549.5368652344
10679970,87.735534668,114869970,373.4785766602,224414970,451.623260498
10709970,91.258644104,114899970,290.3089294434,224429970,426.5148925781
10739970,87.8513641357,114929970,190.8992614746,224444970,103.2457275391
10769970,117.7418670654,114959970,409.5682373047,224459970,631.4804077148
10784970,98.9319381714,114974970,6.9154415131,224489970,444.3045959473
10799970,115.0987472534,114989970,520.2295532227,224519970,503.8877563477
10829970,99.803817749,115019970,383.3011474609,224549970,579.2041625977
10859970,130.5587158203,115049970,218.485458374,224579970,604.0232543945
10889970,123.0029983521,115079970,563.5548706055,224609970,532.7556762695
10904970,13.0688962936,115094970,223.5640258789,224639970,404.9444580078
10919970,141.047668457,115109970,466.2197570801,224654970,63.524887085
10934970,141.9456939697,115139970,514.0789794922,224669970,739.2015991211
10949970,87.3729553223,115169970,405.7456665039,224684970,871.6732788086
10979970,118.4329452515,115199970,336.559967041,224699970,511.1058959961
10994970,29.5769748688,115229970,315.8073120117,224729970,566.6580810547
11009970,99.6760787964,115259970,314.1919555664,224759970,304.6845092773
11039970,125.5119171143,115289970,459.4733276367,224774970,58.2571105957
11054970,99.7332305908,115319970,372.9583740234,224789970,385.0150756836
11069970,143.3210296631,115349970,468.414855957,224804970,224.7593078613
11099970,135.9184417725,115379970,308.1875305176,224819970,474.6067199707
11129970,105.0308837891,115394970,22.9518737793,224834970,464.6717529297
11159970,118.2296905518,115409970,383.1494750977,224849970,532.8598632813
11189970,115.166923523,115439970,284.9285888672,224864970,523.545715332
11219970,79.0480880737,115469970,229.9806365967,224879970,713.3872680664
11234970,47.4993438721,115499970,502.2114562988,224909970,590.3283691406
