Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
2204970,136.6121368408,47639970,1300.04296875,69794970,229.0699768066,137279970,884.5692749023
2219970,270.1217956543,47654970,245.1764831543,69809970,1010.3299560547,137294970,284.4465942383
2234970,145.2393341064,47669970,1336.4262695313,69824970,258.9866943359,137309970,867.8838500977
2249970,323.8743286133,47684970,177.7062072754,69839970,933.2733154297,137324970,267.2786865234
2264970,105.9208374023,47699970,1305.7109375,69854970,98.383430481,137339970,1004.3104858399
2279970,285.6766052246,47714970,156.4089355469,69869970,981.2709960938,137354970,51.5915679932
2294970,146.411529541,47729970,1322.0092773438,69884970,123.3629379272,137369970,959.3322753906
2309970,266.1129150391,47744970,333.0805053711,69899970,1191.2569580078,137384970,170.8922119141
2324970,144.9045562744,47759970,1382.6879882813,69914970,230.0592193604,137399970,899.4744873047
2339970,346.2478027344,47774970,251.0884857178,69929970,911.8206176758,137414970,172.2817382813
2354970,134.2216949463,47789970,1347.1870117188,69944970,392.6094360352,137429970,1065.7496337891
2369970,328.0310668945,47804970,158.5505981445,69959970,964.2413330078,137444970,239.188583374
2384970,120.7942504883,47819970,1401.8773193359,69974970,117.4661712646,137459970,1071.4799804688
2399970,340.4621582031,47834970,121.5990219116,69989970,865.475769043,137474970,207.9390258789
2414970,116.3682937622,47849970,1342.0466308594,70004970,153.7493133545,137489970,949.2603759766
2429970,343.8699035645,47864970,320.1287841797,70019970,1090.5413818359,137504970,245.6775360107
2444970,121.8286514282,47879970,1340.5491943359,70034970,248.2559356689,137519970,1023.7113647461
2459970,339.3735656738,47894970,-25.0893497467,70049970,912.5464477539,137534970,225.9538269043
2474970,169.8701477051,47909970,1125.3582763672,70064970,194.5382843018,137549970,891.9463500977
2489970,456.4747619629,47924970,271.4014587402,70079970,1077.8841552734,137564970,117.9724121094
2504970,162.578338623,47939970,1271.1984863281,70094970,221.5153656006,137579970,1026.8095703125
2519970,470.5034179688,47954970,190.634765625,70109970,871.1926269531,137594970,256.6287536621
2534970,147.2435760498,47969970,1523.5842285156,70124970,219.0538024902,137609970,1038.0202636719
2549970,415.4907836914,47984970,125.8278121948,70139970,928.5396728516,137624970,304.7034606934
2564970,162.1732330322,47999970,973.832824707,70154970,210.968963623,137639970,1112.4421386719
2579970,422.0254516602,48014970,-1.1723009348,70169970,860.1389160156,137654970,260.061920166
2594970,117.3394241333,48029970,1309.0903320313,70184970,183.8937988281,137669970,937.3551025391
2609970,493.211517334,48044970,18.0808753967,70199970,1042.2401123047,137684970,100.309715271
2624970,170.2975769043,48059970,1050.3199462891,70214970,176.7409057617,137699970,918.7801513672
2639970,529.8732299805,48074970,208.1888580322,70229970,869.448425293,137714970,271.5915222168
2654970,161.3732757568,48089970,1234.6198730469,70244970,79.1145477295,137729970,1055.7785644531
2669970,447.4833984375,48104970,193.8681793213,70259970,911.4608154297,137744970,312.117980957
2684970,168.5966491699,48119970,1182.6916503906,70274970,173.8139190674,137759970,1055.3758544922
2699970,435.5661621094,48134970,281.5219726563,70289970,1006.0515136719,137774970,141.874420166
2714970,142.8802642822,48149970,1316.5284423828,70304970,155.3281860352,137789970,1059.6588134766
2729970,473.3494262695,48164970,374.0850830078,70319970,874.8202514648,137804970,157.3577728271
2744970,164.4662780762,48179970,1499.1779785156,70334970,127.8673553467,137819970,876.0396118164
2759970,431.0160522461,48194970,271.2684020996,70349970,920.2789306641,137834970,208.0790100098
2774970,161.0913696289,48209970,1463.96484375,70364970,245.3143463135,137849970,989.6547851563
2789970,523.0415649414,48224970,196.4570770264,70379970,787.0034790039,137864970,118.5197906494
2804970,139.1352996826,48239970,1205.5565185547,70394970,178.460144043,137879970,1117.5296630859
2819970,476.1939697266,48254970,212.0289764404,70409970,913.2138671875,137894970,92.5287857056
2834970,138.8429718018,48269970,1236.9891357422,70424970,433.6092834473,137909970,954.5279541016
2849970,491.7576293945,48284970,153.7816467285,70439970,848.9935913086,137924970,162.9903564453
2864970,124.9918518066,48299970,1263.4893798828,70454970,170.9269866943,137939970,966.3617553711
2879970,461.8274230957,48314970,118.893699646,70469970,909.7016601563,137954970,293.5626831055
2894970,122.8832550049,48329970,1329.494140625,70484970,223.1192626953,137969970,894.4520874023
2909970,516.3532104492,48344970,150.6863708496,70499970,991.2318115234,137984970,229.4125213623
2924970,112.0198745728,48359970,1184.1931152344,70514970,153.8690948486,137999970,917.1586303711
2939970,446.2503967285,48374970,236.7331085205,70529970,893.8901977539,138014970,243.5050811768
2954970,129.2390136719,48389970,1190.2479248047,70544970,253.1785583496,138029970,945.8944702148
2969970,486.7938842773,48404970,108.8540649414,70559970,816.2391967773,138044970,126.7862854004
2984970,107.642829895,48419970,1445.5626220703,70574970,244.0087432861,138059970,1033.3411865234
2999970,444.5342407227,48434970,158.549331665,70589970,1111.2080078125,138074970,188.4688415527
3029970,454.0626831055,48449970,1226.1235351563,70604970,208.6049957275,138089970,1084.5321044922
3044970,188.256149292,48464970,303.5243835449,70619970,973.2862548828,138104970,175.7329711914
3059970,502.1433410645,48479970,1221.6018066406,70634970,214.7299346924,138119970,895.1489868164
3074970,58.9957580566,48494970,143.5392150879,70649970,1029.5690917969,138134970,127.2740631104
3089970,524.9401855469,48509970,1280.0925292969,70664970,158.985534668,138149970,1007.1002197266
3104970,100.8484344482,48524970,193.0572814941,70679970,918.6438598633,138164970,205.9474487305
3119970,516.3981933594,48539970,1493.6481933594,70694970,228.8933105469,138179970,954.4530639648
3134970,57.7772750854,48554970,154.1413879395,70709970,972.7971191406,138194970,170.9392547607
3149970,537.5087890625,48569970,1391.1232910156,70724970,265.2163085938,138209970,959.2193603516
3164970,145.3787994385,48584970,167.3481140137,70739970,850.3649291992,138224970,171.859588623
3179970,489.7397155762,48599970,1164.6844482422,70754970,169.8825683594,138239970,1052.3212890625
3194970,305.606842041,48629970,1249.8736572266,70769970,1057.5787353516,138254970,300.4934082031
3209970,506.0337524414,48644970,116.6280517578,70784970,183.9131164551,138269970,962.9979858398
3224970,176.2314453125,48659970,1072.7479248047,70799970,939.1382446289,138284970,160.0790710449
3239970,447.0389099121,48674970,126.408493042,70814970,105.5986557007,138299970,995.2340698242
3254970,210.0609283447,48689970,1293.65625,70829970,1051.5969238281,138314970,206.6637878418
3269970,485.2826538086,48704970,301.356628418,70844970,195.7056732178,138329970,1095.2230224609
3284970,83.6442260742,48719970,1358.4415283203,70859970,1027.8291015625,138344970,295.002532959
3299970,486.0856628418,48734970,203.501159668,70874970,307.034362793,138359970,1051.8664550781
3314970,180.506362915,48749970,1403.4920654297,70889970,998.464050293,138374970,162.8169250488
3329970,489.8043518066,48764970,415.0873413086,70904970,205.9817352295,138389970,968.4912109375
3344970,107.945892334,48779970,1358.0062255859,70919970,1025.7102050781,138404970,371.5375366211
3359970,555.9041748047,48794970,141.5410308838,70934970,147.737411499,138419970,867.6333618164
3374970,120.2682266235,48809970,1218.9482421875,70949970,1058.5744628906,138434970,198.681640625
3389970,507.5819702148,48824970,146.1145935059,70964970,124.9783477783,138449970,1037.7113037109
3404970,157.5576629639,48839970,1162.0219726563,70979970,996.23828125,138464970,250.7090148926
3419970,533.623840332,48854970,67.4270019531,70994970,152.1145019531,138479970,1019.9547119141
3434970,178.7799377441,48869970,1167.2606201172,71009970,908.9888305664,138494970,224.2148132324
3449970,511.9894104004,48884970,102.4344940186,71024970,250.5800170898,138509970,924.5509643555
3464970,183.9287872314,48899970,1212.3269042969,71039970,762.7265625,138524970,204.8849334717
3479970,528.7716674805,48914970,73.4719696045,71054970,227.875213623,138539970,1022.9877319336
3494970,176.0181884766,48929970,1334.4291992188,71069970,1102.0891113281,138554970,180.8756713867
3509970,587.7457275391,48944970,158.8701171875,71084970,84.8675384521,138569970,1076.1091308594
3524970,158.4383850098,48959970,1180.0948486328,71099970,986.1534423828,138584970,-3.6306445599
3539970,479.130065918,48974970,207.7836608887,71114970,151.0908813477,138599970,1016.8939208984
3554970,127.4987106323,48989970,1178.2995605469,71129970,1086.6248779297,138614970,235.1138916016
3569970,590.821105957,49004970,70.9078674316,71144970,236.1481628418,138629970,954.9653320313
3584970,140.5601654053,49019970,1237.4056396484,71159970,938.6391601563,138644970,194.3267364502
3599970,639.0626220703,49049970,1276.6339111328,71174970,170.4896697998,138659970,971.8950195313
3614970,84.0389404297,49064970,183.1381988525,71189970,1074.3497314453,138674970,164.6049957275
3629970,485.1989746094,49079970,1420.4447021484,71204970,173.4491119385,138689970,944.4119262695
3644970,91.2660293579,49094970,145.2669830322,71219970,972.7630004883,138704970,260.3492736816
3659970,655.3446044922,49109970,1083.6981201172,71234970,138.571685791,138719970,935.3485717773
3674970,118.0350418091,49124970,147.5885772705,71249970,940.4514770508,138734970,127.6653900146
3689970,619.689453125,49139970,1164.8596191406,71264970,182.5338439941,138749970,1123.4801025391
3704970,182.1279907227,49154970,271.2499389648,71279970,1096.8522949219,138764970,226.4898223877
3719970,522.8565063477,49169970,1152.6837158203,71294970,155.3477935791,138779970,1063.4671630859
3734970,195.7003173828,49184970,110.1739807129,71309970,1127.7386474609,138794970,144.5185394287
3749970,575.0343017578,49199970,1255.8526611328,71324970,213.0233917236,138809970,1086.34375
3764970,154.4606933594,49214970,94.3041152954,71339970,946.9846191406,138824970,199.83203125
3779970,576.9434204102,49229970,1165.8734130859,71354970,224.530166626,138839970,1096.6929931641
3794970,253.7375793457,49244970,104.2668762207,71369970,944.1086425781,138854970,177.553604126
3809970,556.4771728516,49259970,1189.8720703125,71384970,163.7622070313,138869970,887.1931762695
3824970,216.2698516846,49289970,1367.6971435547,71399970,869.4646606445,138884970,316.094909668
3839970,575.4637451172,49319970,1264.8592529297,71414970,68.3297424316,138899970,895.3646240234
3854970,190.8543548584,49334970,164.0747375488,71429970,1024.6563720703,138914970,248.7178497314
3869970,526.6581420898,49349970,1132.0889892578,71444970,156.0801391602,138929970,918.1001586914
3884970,189.4076385498,49364970,70.8379592896,71459970,1058.9620361328,138944970,123.4610595703
3899970,631.4459838867,49379970,1428.4089355469,71474970,402.6237792969,138959970,750.6299438477
3914970,207.0010375977,49394970,98.5808944702,71489970,1050.6188964844,138974970,189.6433105469
3929970,579.0447998047,49409970,1444.3443603516,71504970,299.8504638672,138989970,1082.7952880859
3944970,174.5628967285,49424970,159.4396057129,71519970,995.8811645508,139004970,152.1448059082
3959970,575.1779785156,49439970,1033.2563476563,71549970,984.0056152344,139019970,1036.7117919922
3974970,227.4498748779,49454970,170.1123504639,71564970,216.9599151611,139034970,162.5252532959
3989970,560.4848632813,49469970,1332.0968017578,71579970,813.8980102539,139049970,1141.8034667969
4004970,240.5539550781,49484970,167.1951904297,71594970,252.5160522461,139064970,130.2075042725
4019970,588.3706665039,49499970,1289.7471923828,71609970,887.5682373047,139079970,1094.3856201172
4034970,199.6215057373,49514970,264.5324707031,71624970,268.1614074707,139094970,262.9836120605
4049970,627.5245361328,49529970,1312.8135986328,71639970,1099.720703125,139109970,809.0810546875
4064970,263.4624328613,49544970,253.5012207031,71654970,180.2835693359,139124970,207.1013183594
4079970,621.2289428711,49559970,1253.2341308594,71669970,930.3796386719,139139970,1058.5360107422
4094970,198.259475708,49574970,261.179473877,71684970,346.2603759766,139154970,129.8061523438
4109970,615.2725219727,49589970,1078.9105224609,71699970,902.5172729492,139169970,1097.9377441406
4124970,108.2335662842,49604970,112.6031723022,71714970,188.2448730469,139184970,225.4531707764
4139970,636.571105957,49619970,1131.0275878906,71729970,1003.1831665039,139199970,986.4174804688
4154970,175.4440612793,49634970,77.9051895142,71744970,208.0986938477,139214970,230.1245880127
4169970,648.4493408203,49649970,1336.5750732422,71759970,958.920715332,139229970,968.6442260742
4184970,224.3105926514,49664970,128.2239074707,71774970,260.8118591309,139244970,167.5106506348
4199970,624.7809448242,49679970,1309.9864501953,71789970,868.0007324219,139259970,842.2418823242
4214970,147.573348999,49694970,185.8764953613,71804970,301.948425293,139274970,350.6054992676
4229970,655.8077392578,49709970,1129.7905273438,71819970,825.6467895508,139289970,942.5002441406
4244970,185.9534912109,49724970,263.206817627,71834970,170.5262756348,139304970,215.6623535156
4259970,608.3919677734,49739970,1194.3210449219,71849970,982.3286743164,139319970,1049.7911376953
4274970,169.8492126465,49754970,130.3932800293,71864970,145.8351745605,139334970,281.9059448242
4289970,589.9496459961,49769970,1137.0261230469,71879970,1071.7102050781,139349970,938.2373046875
4304970,237.1828460693,49784970,201.7123565674,71894970,255.2800750732,139364970,218.7116241455
4319970,637.1045532227,49799970,1111.8116455078,71909970,973.8231811523,139379970,885.3451538086
4334970,220.1228179932,49814970,319.4898376465,71924970,299.7100830078,139394970,123.469078064
4349970,605.7544555664,49829970,1007.5991210938,71939970,1075.5765380859,139409970,1035.1513671875
4364970,291.2493591309,49844970,195.904586792,71954970,208.337677002,139424970,179.4762573242
4379970,629.0941772461,49859970,1278.4051513672,71969970,1118.8074951172,139439970,959.2757568359
4394970,198.7095947266,49874970,125.6066818237,71984970,176.1821746826,139454970,379.1582336426
4409970,589.4993896484,49889970,1191.6766357422,71999970,1134.4434814453,139469970,881.2064819336
4424970,196.3945922852,49904970,325.8184204102,72014970,166.4146118164,139484970,179.5730895996
4439970,595.6360473633,49919970,1218.0947265625,72029970,1003.9727172852,139499970,1006.3968505859
4454970,157.0449523926,49934970,234.8377075195,72044970,267.397064209,139514970,263.5422363281
4469970,631.8656616211,49949970,1222.6828613281,72059970,1049.6307373047,139529970,1038.0224609375
4499970,656.8934936523,49964970,107.7861709595,72074970,206.9848175049,139544970,445.4276428223
4514970,217.1240234375,49979970,1118.0889892578,72089970,934.7461547852,139559970,936.8158569336
4529970,677.5100708008,49994970,284.8077697754,72104970,249.2483215332,139574970,190.5429534912
4544970,196.3271331787,50009970,1078.5950927734,72119970,997.3408813477,139589970,886.2841796875
4559970,644.4155273438,50024970,143.7208251953,72134970,156.926361084,139619970,1100.3444824219
4574970,237.9970397949,50039970,1303.3061523438,72149970,954.6270141602,139634970,150.5525970459
4589970,687.6622314453,50054970,196.7347869873,72164970,238.9727172852,139649970,1098.4333496094
4604970,169.9399108887,50069970,1130.4771728516,72179970,994.4385375977,139664970,295.8406066895
4619970,653.9036865234,50084970,262.5182495117,72194970,240.6270446777,139679970,902.3569946289
4634970,200.1772003174,50099970,1334.8079833984,72209970,1087.6159667969,139694970,247.8247375488
4649970,661.8106689453,50114970,61.8959617615,72224970,349.5169372559,139709970,947.203918457
4664970,230.2413330078,50129970,1149.7767333984,72239970,1012.3286132813,139724970,119.2774658203
4679970,720.6537475586,50144970,179.5788574219,72254970,131.4098358154,139739970,957.9771728516
4694970,247.3615264893,50159970,1293.6000976563,72269970,1108.5913085938,139754970,237.9878845215
