Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
3059970,407.3639526367,44159970,1609.4869384766,69509970,845.7381591797,164969970,752.5778808594
3074970,56.0530281067,44174970,24.9158477783,69524970,130.7841339111,164984970,264.7896728516
3089970,438.8091430664,44189970,1584.4157714844,69539970,868.5684814453,164999970,818.9862060547
3119970,502.2813415527,44204970,129.5990905762,69554970,154.221786499,165014970,351.5084228516
3134970,178.1250457764,44219970,1544.5485839844,69569970,890.9887084961,165029970,859.0241699219
3149970,518.2285766602,44234970,30.1140880585,69584970,185.1784973145,165044970,314.924621582
3164970,257.6817016602,44249970,1470.2453613281,69599970,838.9885253906,165059970,890.7512207031
3179970,517.6748657227,44264970,225.7987670898,69614970,196.9049224854,165074970,309.5223999023
3194970,80.9614639282,44279970,1379.9713134766,69629970,1040.5477294922,165089970,670.5230712891
3209970,562.8002929688,44294970,65.8095855713,69644970,212.4304199219,165104970,291.6191101074
3224970,128.294921875,44309970,1544.2208251953,69659970,1067.4835205078,165119970,743.2314453125
3239970,509.8232116699,44339970,1362.7614746094,69674970,195.3534240723,165134970,95.5221633911
3254970,165.4543609619,44354970,204.9921264648,69689970,900.3856811523,165149970,816.0837402344
3269970,507.4325256348,44369970,1480.1313476563,69704970,180.5872192383,165164970,318.2159118652
3284970,247.1086578369,44399970,1367.1107177734,69719970,1158.0745849609,165179970,859.4263305664
3299970,560.5902099609,44414970,199.654083252,69734970,269.452331543,165194970,150.9551849365
3314970,186.710647583,44429970,1349.4298095703,69749970,973.7481079102,165209970,893.6260986328
3329970,588.447265625,44459970,1429.6091308594,69764970,243.9573516846,165224970,304.0686035156
3344970,152.2862854004,44474970,149.3437194824,69779970,1139.5881347656,165239970,925.1793212891
3359970,594.5091552734,44489970,1263.4803466797,69794970,104.5730438232,165269970,758.0946044922
3374970,135.3009185791,44504970,38.6621055603,69809970,897.1130981445,165284970,323.3922424316
3389970,620.7719726563,44519970,1532.5773925781,69824970,168.1992492676,165299970,782.9113769531
3404970,105.6637649536,44534970,249.4152374268,69839970,1167.4984130859,165314970,132.5659332275
3419970,602.5528564453,44549970,1611.3839111328,69854970,155.9243011475,165329970,838.1954956055
3434970,130.1396636963,44564970,413.8675842285,69869970,955.9735107422,165344970,198.0214080811
3449970,586.0020751953,44579970,1454.2457275391,69884970,192.4814300537,165359970,808.7979736328
3464970,116.6464538574,44594970,75.9031829834,69899970,1082.6317138672,165374970,241.4214782715
3479970,600.8305053711,44609970,1568.2921142578,69914970,95.3311538696,165389970,777.6252441406
3494970,209.73878479,44639970,1370.9857177734,69929970,1040.0632324219,165404970,321.1065063477
3509970,651.7191162109,44654970,178.4202880859,69944970,250.1596832275,165419970,719.6264038086
3524970,187.0748443604,44669970,1575.537109375,69959970,686.256652832,165434970,130.5792541504
3539970,599.2177124023,44684970,167.3783569336,69974970,423.0646972656,165449970,786.0232543945
3554970,193.6181335449,44699970,1453.0344238281,69989970,1119.6317138672,165464970,377.3406982422
3569970,636.5564575195,44729970,1388.5686035156,70004970,189.5352020264,165479970,822.7529907227
3584970,204.5766143799,44744970,294.5184631348,70019970,867.7347412109,165494970,253.2203216553
3599970,595.5191650391,44759970,1323.3227539063,70034970,140.765045166,165509970,790.0932006836
3614970,140.0910186768,44774970,337.6437072754,70049970,973.8189086914,165524970,351.9220275879
3629970,592.8902587891,44789970,1393.0205078125,70064970,289.4739379883,165539970,562.5906982422
3644970,155.7320251465,44804970,98.2048416138,70079970,908.2133789063,165554970,185.1850738525
3659970,637.4415283203,44819970,1186.7761230469,70094970,114.7152709961,165569970,860.55859375
3674970,106.1020050049,44849970,1398.7762451172,70109970,917.3056640625,165584970,253.8186645508
3689970,608.05078125,44864970,202.6107025146,70124970,187.5040435791,165599970,797.5899047852
3704970,118.1367340088,44879970,1628.2312011719,70139970,1111.7517089844,165614970,299.4225769043
3719970,643.8558349609,44909970,1467.4250488281,70154970,134.4973754883,165629970,763.1392822266
3734970,185.9152374268,44924970,59.8256225586,70169970,1000.1841430664,165644970,216.7770996094
3749970,588.6781005859,44939970,1506.2999267578,70184970,167.5065765381,165659970,779.6054077148
3764970,245.6727600098,44969970,1386.5162353516,70199970,937.217590332,165674970,298.6477966309
3779970,678.2376708984,44984970,-5.1663913727,70214970,133.6110687256,165689970,706.7268066406
3794970,174.2662200928,44999970,1519.4383544922,70229970,927.0778198242,165704970,213.1802368164
3809970,631.3864135742,45014970,332.183380127,70244970,238.3346710205,165719970,763.7042236328
3824970,266.7902526855,45029970,1459.7684326172,70259970,1083.0028076172,165734970,99.135307312
3839970,670.3737792969,45044970,229.0394897461,70274970,360.4221801758,165749970,868.3345336914
3854970,202.3852081299,45059970,1360.3636474609,70289970,1009.860168457,165764970,145.9989776611
3869970,634.4983520508,45074970,42.6941108704,70304970,215.6999511719,165779970,770.1646728516
3884970,275.3179931641,45089970,1510.8651123047,70319970,988.8509521484,165794970,252.0123748779
3899970,620.0198364258,45104970,138.227722168,70334970,213.4292449951,165809970,795.0373535156
3914970,245.2496643066,45119970,1358.2038574219,70349970,1148.1900634766,165824970,309.9897460938
3929970,595.7678222656,45134970,116.9375152588,70364970,270.5029907227,165839970,773.8209228516
3959970,637.0175170898,45149970,1268.6809082031,70379970,1014.7610473633,165854970,371.1686401367
3974970,350.5421142578,45164970,91.8489151001,70394970,276.9157714844,165869970,961.3074951172
3989970,673.453125,45179970,1263.5140380859,70409970,904.6730957031,165884970,189.5187072754
4004970,243.0408325195,45194970,132.2135162354,70424970,337.8277282715,165899970,840.938659668
4019970,666.3707275391,45209970,1380.6528320313,70439970,987.7182006836,165914970,136.147644043
4034970,148.5910339355,45224970,246.8588104248,70454970,180.4294891357,165929970,643.3973388672
4049970,669.5451049805,45239970,1385.3377685547,70469970,1106.2336425781,165944970,273.0947875977
4064970,165.4791870117,45269970,1341.0375976563,70484970,227.742767334,165959970,812.333984375
4079970,695.8746948242,45284970,161.6537475586,70499970,964.0094604492,165974970,381.921661377
4094970,262.4007873535,45299970,1332.1158447266,70514970,231.2565612793,165989970,857.9290771484
4109970,661.0961914063,45314970,298.2753601074,70529970,970.8604125977,166004970,142.1885528564
4124970,203.6914672852,45329970,1634.4504394531,70544970,166.4190826416,166019970,762.473449707
4139970,640.2749023438,45359970,1419.0942382813,70559970,1086.12109375,166034970,344.438873291
4154970,219.3356933594,45374970,-22.5564537048,70574970,275.953125,166049970,870.0256958008
4169970,630.8361816406,45389970,1329.1104736328,70589970,1073.6685791016,166064970,442.6773986816
4184970,178.443572998,45404970,179.2645568848,70604970,183.6742401123,166079970,860.9000854492
4199970,655.9305419922,45419970,1470.0080566406,70619970,1052.6405029297,166094970,280.6179199219
4214970,181.6266479492,45449970,1605.7957763672,70634970,259.5841369629,166109970,874.1540527344
4229970,687.4569091797,45464970,39.3812599182,70649970,1086.4453125,166124970,150.7505645752
4244970,239.157333374,45479970,1400.8387451172,70664970,252.5525665283,166139970,863.5035400391
4259970,704.8377685547,45494970,189.5250549316,70679970,1068.6644287109,166154970,154.7972259521
4274970,256.0617980957,45509970,1415.8881835938,70694970,283.9320678711,166169970,1059.1877441406
4289970,729.3331298828,45524970,594.5775756836,70709970,983.696105957,166184970,256.3980102539
4304970,214.3641967773,45539970,1557.0639648438,70724970,140.1523132324,166199970,850.2436523438
4319970,726.4439086914,45554970,183.8651733398,70739970,770.3932495117,166214970,258.4371337891
4334970,239.9155883789,45569970,1405.5148925781,70754970,292.2370605469,166229970,923.8092651367
4349970,708.9155883789,45584970,165.2571411133,70769970,889.9608764648,166244970,247.0785827637
4364970,225.3506011963,45599970,1395.625,70784970,186.8092041016,166259970,798.09375
4379970,672.8295898438,45614970,-24.52592659,70799970,974.6904907227,166274970,287.9158630371
4394970,303.2238464355,45629970,1408.9110107422,70814970,80.7139587402,166289970,767.7210083008
4409970,695.9610595703,45659970,1372.8784179688,70829970,919.258972168,166304970,225.2030334473
4424970,194.37940979,45674970,248.1604919434,70844970,260.2116088867,166319970,868.1624755859
4439970,670.8983764648,45689970,1360.2264404297,70859970,1023.7484130859,166334970,208.1588592529
4454970,302.8565368652,45704970,332.0637512207,70874970,71.4126663208,166349970,872.4284667969
4469970,669.2120361328,45719970,1560.4176025391,70889970,919.5221557617,166364970,107.9158477783
4484970,134.9978027344,45734970,209.5780487061,70904970,110.5956497192,166379970,899.2928466797
4499970,672.8532104492,45749970,1420.9582519531,70919970,1016.6328125,166394970,462.4632568359
